RecipientOrgName,RecipientOrgID,RecipientOrgType,RecipientOrgNameNew,RecipientOrgIDNew,RecipientOrgTypeNew
United Nations Children's Fund,XM-DAC-41122,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
IBRD - INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT ALT,44001,40,International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40
AICS - Italian Agency for Cooperation and Development,NA,10,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,XM-DAC-6-4,10
UNIDO - ORGANIZZAZIONE DELLE NAZIONI UNITE PER LO SVILUPPO INDUSTRIALE,XM-DAC-41123,40,United Nations Industrial Development Organization (UNIDO),XM-DAC-41123,40
UNOPS - UFFICIO DELLE NAZIONI UNITE PER L'ASSISTENZA E GESTIONE DI PROGETTI DI SVILUPPO,41AAA,40,United Nations Office for Project Services (UNOPS),41AAA,40
WORLD FOOD PROGRAMME*PROGRAMME ALIMENTAIRE MONDIAL,XM-DAC-41140,NA,United Nations World Food Programme (WFP),XM-DAC-41140,40
UNITED NATIONS CHILDREN'S FUND*LE FFONDS DES NATIONS UNIES POUR L'ENFANCE,XM-DAC-41122,NA,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS*ORGANISATION DES NATIONS UNIES POUR L'ALIMENTATION ET L'AGRICULTURE,XM-DAC-41301,NA,Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,40
DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*,XM-DAC-5-52,NA,Germany GIZ Non BMZ,XM-DAC-5-52,10
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,XM-DAC-44001,NA,International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40
INTERNATIONAL ORGANIZATION FOR MIGRATION,XM-DAC-47066,NA,International Organization for Migration (IOM),XM-DAC-47066,40
AGENCE FRANCAISE DE DEVELOPPEMENT,FR-3,NA,Agence FranÃ§aise de DÃ©veloppement,FR-3,10
British Council,GB-CHC-209131,15,British Council,GB-CHC-209131,10
United Nations Children's Fund (UNICEF),41122,NA,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,NA,International Bank for Reconstruction and Development ,XM-DAC-44001,40
British Council,22000,NA,British Council,GB-CHC-209131,10
United States Agency for International Development (USAID),13000,NA,United States Agency for International Development (USAID),US-GOV-1,10
NA,XM-DAC-44001,NA,International Bank for Reconstruction and Development ,XM-DAC-44001,40
NA,XM-DAC-41140,NA,United Nations World Food Programme (WFP),XM-DAC-41140,40
NA,XM-DAC-47066,NA,International Organization for Migration (IOM),XM-DAC-47066,40
NA,XM-DAC-41121,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40
NA,XM-DAC-41122,NA,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
United Nations Children's Fund,NA,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
Government of Belgium,NA,10,Government of Belgium,BE-BCE_KBO-0264814354,10
World Bank Group,NA,40,The World Bank,44000,40
U.S. Government - U.S. Agency for International Development,NA,23,United States Agency for International Development (USAID),US-GOV-1,10
United Nations Office for Project Services,NA,40,United Nations Office for Project Services (UNOPS),41AAA,40
International Organisation for Migration,NA,40,International Organization for Migration (IOM),XM-DAC-47066,40
USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,NA,80,United States Agency for International Development (USAID),US-GOV-1,10
United Nations Development Programme,NA,40,United Nations Development Programme (UNDP),XM-DAC-41114,40
World Food Program,XM-DAC-41140,40,United Nations World Food Programme (WFP),XM-DAC-41140,40
United Nations Children's Fund (UNICEF),XM-DAC-41122,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40,International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40
United Nations Office for Project Services (UNOPS),41AAA,40,United Nations Office for Project Services (UNOPS),41AAA,40
AICS - Italian Agency for Cooperation and Development,,10,AICS - Italian Agency for Cooperation and Development,XM-DAC-6-4,10
MINISTRY OF FINANCE ETHIOPIA ALT,,10,,,
United Nations Industrial Development Organization (UNIDO),XM-DAC-41123,40,United Nations Industrial Development Organization (UNIDO),XM-DAC-41123,40
,,10,,,
International Bank for Reconstruction and Development ,XM-DAC-44001,40,International Bank for Reconstruction and Development ,XM-DAC-44001,40
United Nations World Food Programme (WFP),XM-DAC-41140,40,United Nations World Food Programme (WFP),XM-DAC-41140,40
Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,40,Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,40
Germany GIZ Non BMZ,XM-DAC-5-52,10,Germany GIZ Non BMZ,XM-DAC-5-52,10
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",XM-DAC-41304,40,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",XM-DAC-41304,40
International Organization for Migration (IOM),XM-DAC-47066,40,International Organization for Migration (IOM),XM-DAC-47066,40
Agence FranÃƒÂ§aise de DÃƒÂ©veloppement,FR-3,10,Agence FranÃƒÂ§aise de DÃƒÂ©veloppement,FR-3,10
United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40
British Council,GB-CHC-209131,10,British Council,GB-CHC-209131,10
United States Agency for International Development (USAID),US-GOV-1,10,United States Agency for International Development (USAID),US-GOV-1,10
WFP,XM-DAC-41140,40,United Nations World Food Programme (WFP),XM-DAC-41140,40
Republic of Korea,KR-GOV-010,10,Republic of Korea,KR-GOV-010,10
,,40,,,
USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,10,United States Agency for International Development (USAID),US-GOV-1,10
United Nations Children's Fund,,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
Government of Belgium,,10,Belgian Development Cooperation,XM-DAC-2-10,10
World Bank Group,,40,The World Bank,44000,40
United Nations Office for Project Services,,40,United Nations Office for Project Services (UNOPS),41AAA,40
International Organisation for Migration,,40,International Organization for Migration (IOM),XM-DAC-47066,40
"UK - Foreign, Commonwealth and Development Office",GB-GOV-1,10,"UK - Foreign, Commonwealth and Development Office",GB-GOV-1,10
United Nations Development Programme,,40,United Nations Development Programme (UNDP),XM-DAC-41114,40
United Nations - Other,XM-DAC-41100,40,United Nations - Other,XM-DAC-41100,40
International Bank for Reconstruction and Development ,XM-DAC-44001,40,International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40
,,10,,,
United Nations Development Programme (UNDP),XM-DAC-41114,40,United Nations Development Programme (UNDP),XM-DAC-41114,40
AICS - Italian Agency for Cooperation and Development,,10,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,XM-DAC-6-4,10
"UNESCO - ORGANIZZAZIONE DELLE NAZIONI UNITE PER L'EDUCAZIONE, LA SCIENZA E LA CULTURA",XM-DAC-41304,40,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",XM-DAC-41304,40
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),XM-DAC-41130,40,The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),XM-DAC-41130,40
UNIONE DEI COMUNI DEL TRASIMENO EPE,,10,,,
MOFP - Ministero delle Finanze e Pianificazione territori palestinesi,,10,,,
COMUNE DI GUBBIO,,10,,,
UNFPA - FONDO DELLE NAZIONI UNITE PER LE ATTIVITÃ€ DELLE POPOLAZIONI,41119,40,United Nations Population Fund,XM-DAC-41119,40
UNICEF - FONDO DELLE NAZIONI UNITE PER L'INFANZIA,XM-DAC-41122,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
Germany GIZ Non BMZ,XM-DAC-5-52,10,Germany GIZ Non BMZ,XM-DAC-5-52,10
United Nations Children's Fund (UNICEF),XM-DAC-41122,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40
United Nations World Food Programme (WFP),XM-DAC-41140,40,United Nations World Food Programme (WFP),XM-DAC-41140,40
British Council,GB-CHC-209131,10,British Council,GB-CHC-209131,10
SOMALI ENVIRONMENTAL PROTECTION ORGANIZATION SOMALI EPO,,10,,,
Ministry of Foreign Affairs - United Arab Emirates (UAE),XM-DAC-576,10,Ministry of Foreign Affairs - United Arab Emirates (UAE),XM-DAC-576,10
"
					Government of Ukraine
				",,10,,,
"
					United Nations Childrens Fund (UNICEF)
				",,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
United Nations Children rs s Fund,XM-DAC-41122,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
,,40,,,
USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,10,United States Agency for International Development (USAID),US-GOV-1,10
United Nations Children's Fund,,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
United Nations Entity for Gender Equality and the Empowerment of Women,,40,,,
World Bank Group,,40,The World Bank,44000,40
United Nations Office of Project Services (UNOPS),,40,United Nations Office for Project Services (UNOPS),41AAA,40
International Organisation for Migration,,40,International Organization for Migration (IOM),XM-DAC-47066,40
"UK - Foreign, Commonwealth and Development Office",GB-GOV-1,10,"UK - Foreign, Commonwealth and Development Office",GB-GOV-1,10
International Development Association,,40,The World Bank,44000,40
AICS - Italian Agency for Cooperation and Development,,10,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,XM-DAC-6-4,10
International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40,International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40
MINISTRY OF FINANCE ETHIOPIA ALT,,10,,,
United Nations Industrial Development Organization (UNIDO),XM-DAC-41123,40,United Nations Industrial Development Organization (UNIDO),XM-DAC-41123,40
FEDERAL TVET AGENCY (FTVETA) ETHIOPIA ALT,,10,,,
United Nations Office for Project Services (UNOPS),41AAA,40,United Nations Office for Project Services (UNOPS),41AAA,40
,,10,,,
United Nations World Food Programme (WFP),XM-DAC-41140,40,United Nations World Food Programme (WFP),XM-DAC-41140,40
United Nations Children's Fund (UNICEF),XM-DAC-41122,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,40,Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,40
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",XM-DAC-41304,40,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",XM-DAC-41304,40
International Organization for Migration (IOM),XM-DAC-47066,40,International Organization for Migration (IOM),XM-DAC-47066,40
Agence FranÃƒÂ§aise de DÃƒÂ©veloppement,FR-3,10,,,
British Council,GB-CHC-209131,10,British Council,GB-CHC-209131,10
International Bank for Reconstruction and Development ,XM-DAC-44001,40,International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40
United States Agency for International Development (USAID),US-GOV-1,10,United States Agency for International Development (USAID),US-GOV-1,10
MINISTRY OF LABOUR AND SKILLS,,10,,,
Fundis App Limited,FundisAppLimited,10,Fundis App Limited,,
,,40,,,
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),XM-DAC-41127,40,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),XM-DAC-41127,40
Government of Belgium,,10,Government of Belgium,BE-BCE_KBO-0264814354,10
United Nations Children's Fund,,40,United Nations Children's Fund (UNICEF),XM-DAC-41122,40
World Bank Group,,40,The World Bank,44000,40
United Nations Office for Project Services,,40,United Nations Office for Project Services (UNOPS),41AAA,40
International Organisation for Migration,,40,International Labour Organization (ILO),XM-DAC-41302,40
USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,10,United States Agency for International Development (USAID),US-GOV-1,10
"UK - Foreign, Commonwealth and Development Office",GB-GOV-1,10,"UK - Foreign, Commonwealth and Development Office",GB-GOV-1,10
United Nations Development Programme,,40,United Nations Development Programme (UNDP),XM-DAC-41114,40
United Nations - Other,XM-DAC-41100,40,United Nations - Other,XM-DAC-41100,40
,,40,,,
International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40,,,
British Council,GB-CHC-209131,10,,,
United Nations Development Programme (UNDP),XM-DAC-41114,40,,,
International Bank for Reconstruction and Development ,XM-DAC-44001,40,,,
United Nations Children's Fund (UNICEF),XM-DAC-41122,40,,,
BANGLADESH TECHNICAL EDUCATION BOARD (BTEB),,10,,,
"BANGLADESH SWEDEN POLYTECHNIC INSTITUTE (PRINCIPAL, BS-POLYTECHNIC INSTITUTE)",,10,,,
NATIONAL SKILLS DEVELOPMENT AUTHORITY,,10,,,
TECHNICAL TEACHER'S TRAINING COLLEGE,,10,,,
KHAGRACHARI HILL DISTRICT COUNCIL (ProGRESS),,10,,,
DEPARTMENT OF YOUTH DEVELOPMENT,,10,,,
ECONOMICS STUDY CENTER,,10,,,
UN Women,XM-DAC-41146,40,,,
GAIBANDHA TECHNICAL TRAINING CENTRE,,10,,,
DHAKA MOHILA POLYTECHNIC INSTITUTE (PRINCIPAL DMPI MISCELLANEOUS),,10,,,
BANGLADESH TOURISM BOARD,,10,,,
"TECHNICAL TRAINING CENTRE, RANGAMATI (PRINCIPAL TECHNICAL TRAINING CENTRE, RANGAMATI)",,10,,,
"SYLHET TECHNICAL SCHOOL AND COLLEGE, SYLHET",,10,,,
"JAMALPUR TECHNICAL SCHOOL & COLLEGE, JAMALPUR",,10,,,
MINISTRY OF CHITTAGONG HILL TRACTS AFFAIRS,,10,,,
UNITED NATIONS POPULATION FUND (UNFPA),,40,United Nations Population Fund,XM-DAC-41119,40
"RANGPUR TECHNICAL SCHOOL AND COLLEGE, RANGPUR (PRINCIPAL TECHNICAL SCHOOL & COLLEGE, RANGPUR)",,10,,,
"BUREAU OF MANPOWER, EMPLOYMENT AND TRAINING (BMET)",,10,,,
,,10,,,
,,40,,,
U.S. Government - Department of Agriculture,,10,,,
United Nations Development Programme,,40,United Nations Development Programme (UNDP),XM-DAC-41114,40
International Food Policy Research Institute,,40,,,
United Nations World Food Programme (WFP),XM-DAC-41140,40,,,
United Nations - Other,XM-DAC-41100,40,,,
International Bank for Reconstruction and Development ,XM-DAC-44001,40,,,
United Nations Children's Fund (UNICEF),XM-DAC-41122,40,,,
International Bank for Reconstruction and Development (IBRD),XM-DAC-44001,40,,,
United Nations Office for Project Services (UNOPS),41AAA,40,,,
AICS - Italian Agency for Cooperation and Development,,10,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,XM-DAC-6-4,10
MINISTRY OF FINANCE ETHIOPIA ALT,,10,,,
United Nations Industrial Development Organization (UNIDO),XM-DAC-41123,40,,,
,,10,,,
United Nations Development Programme (UNDP),XM-DAC-41114,40,,,
"UNESCO - ORGANIZZAZIONE DELLE NAZIONI UNITE PER L'EDUCAZIONE, LA SCIENZA E LA CULTURA",XM-DAC-41304,40,,,
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),XM-DAC-41130,40,,,
UNIONE DEI COMUNI DEL TRASIMENO EPE,,10,,,
MOFP - Ministero delle Finanze e Pianificazione territori palestinesi,,10,,,
COMUNE DI GUBBIO,,10,,,
UNFPA - FONDO DELLE NAZIONI UNITE PER LE ATTIVITÃ€ DELLE POPOLAZIONI,41119,40,,,
UNICEF - FONDO DELLE NAZIONI UNITE PER L'INFANZIA,XM-DAC-41122,40,,,
United Nations World Food Programme (WFP),XM-DAC-41140,40,,,
Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,40,,,
Germany GIZ Non BMZ,XM-DAC-5-52,10,,,
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",XM-DAC-41304,40,,,
International Organization for Migration (IOM),XM-DAC-47066,40,,,
Agence FranÃƒÂ§aise de DÃƒÂ©veloppement,FR-3,10,,,
United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,,,
British Council,GB-CHC-209131,10,,,
United States Agency for International Development (USAID),US-GOV-1,10,,,
BANGLADESH TECHNICAL EDUCATION BOARD (BTEB),,10,,,
KHAGRACHARI HILL DISTRICT COUNCIL (ProGRESS),,10,,,
DEPARTMENT OF YOUTH DEVELOPMENT,,10,,,
ECONOMICS STUDY CENTER,,10,,,
UN Women,XM-DAC-41146,40,,,
SOMALI ENVIRONMENTAL PROTECTION ORGANIZATION SOMALI EPO,,10,,,
"JAMALPUR TECHNICAL SCHOOL & COLLEGE, JAMALPUR",,10,,,
"BANGLADESH SWEDEN POLYTECHNIC INSTITUTE (PRINCIPAL, BS-POLYTECHNIC INSTITUTE)",,10,,,
DHAKA MOHILA POLYTECHNIC INSTITUTE (PRINCIPAL DMPI MISCELLANEOUS),,10,,,
TECHNICAL TEACHER'S TRAINING COLLEGE,,10,,,
GAIBANDHA TECHNICAL TRAINING CENTRE,,10,,,
BANGLADESH TOURISM BOARD,,10,,,
"TECHNICAL TRAINING CENTRE, RANGAMATI (PRINCIPAL TECHNICAL TRAINING CENTRE, RANGAMATI)",,10,,,
"SYLHET TECHNICAL SCHOOL AND COLLEGE, SYLHET",,10,,,
NATIONAL SKILLS DEVELOPMENT AUTHORITY,,10,,,
UNITED NATIONS POPULATION FUND (UNFPA),,40,,,
"BUREAU OF MANPOWER, EMPLOYMENT AND TRAINING (BMET)",,10,,,
"RANGPUR TECHNICAL SCHOOL AND COLLEGE, RANGPUR (PRINCIPAL TECHNICAL SCHOOL & COLLEGE, RANGPUR)",,10,,,
MINISTRY OF CHITTAGONG HILL TRACTS AFFAIRS,,10,,,
Ministry of Foreign Affairs - United Arab Emirates (UAE),XM-DAC-576,10,,,
"
					Government of Ukraine
				",,10,,,
"
					United Nations Childrens Fund (UNICEF)
				",,40,"
					United Nations Childrens Fund (UNICEF)
				",XM-DAC-41122,40
United Nations Children rs s Fund,XM-DAC-41122,40,"
					United Nations Childrens Fund (UNICEF)
				",XM-DAC-41122,40
WFP,XM-DAC-41140,40,United Nations World Food Programme (WFP),XM-DAC-41140,40
United Nations Children s Fund,XM-DAC-41122,40,"
					United Nations Childrens Fund (UNICEF)
				",XM-DAC-41122,40
,,40,,,
Republic of Korea,KR-GOV-010,10,,,
USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,10,United States Agency for International Development (USAID),US-GOV-1,10
United Nations Children's Fund,,40,"
					United Nations Childrens Fund (UNICEF)
				",XM-DAC-41122,40
United Nations Entity for Gender Equality and the Empowerment of Women,,40,UN Women,XM-DAC-41146,40
World Bank Group,,40,The World Bank,44000,40
U.S. Government - Department of Agriculture,,10,United States Department of Agriculture,US-GOV-2,10
Government of Belgium,,10,,,
United Nations Office for Project Services,,40,United Nations Office for Project Services (UNOPS),41AAA,40
International Organisation for Migration,,40,International Organization for Migration (IOM),XM-DAC-47066,40
United Nations Development Programme,,40,United Nations Development Programme (UNDP),XM-DAC-41114,40
International Food Policy Research Institute,,40,International Food Policy Research Institute,XI-GRID-grid.419346.d,40
United Nations Office of Project Services (UNOPS),,40,United Nations Office for Project Services (UNOPS),41AAA,40
"UK - Foreign, Commonwealth and Development Office",GB-GOV-1,10,,,
International Development Association,,40,The World Bank,44000,40
United Nations - Other,XM-DAC-41100,40,,,
